"Sexo";"Categoría profesional";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Fallecidos";"Curados";"Fecha"
"Mujeres";"Sanitario en centro sanitario";"19";"40";"11";"19";"0";"66";"05/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"13";"17";"6";"13";"0";"17";"05/04/2021"
"Mujeres";"Sanitario en otro centro";"5";"7";"3";"5";"0";"11";"05/04/2021"
"Mujeres";"No sanitario en centro sanitario";"2";"5";"0";"2";"0";"8";"05/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"10";"16";"6";"10";"0";"23";"05/04/2021"
"Mujeres";"Atención al público";"0";"0";"0";"0";"0";"0";"05/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"3";"3";"1";"3";"0";"6";"05/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"12";"15";"7";"12";"0";"32";"05/04/2021"
"Mujeres";"Personal de oficina de farmacia";"2";"3";"2";"2";"0";"2";"05/04/2021"
"Mujeres";"Otra profesión de riesgo";"72";"85";"17";"72";"0";"98";"05/04/2021"
"Hombres";"Sanitario en centro sanitario";"1";"18";"3";"1";"0";"4";"06/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"1";"0";"1";"0";"2";"06/04/2021"
"Hombres";"Sanitario en otro centro";"1";"5";"2";"1";"0";"2";"06/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"1";"06/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"4";"1";"0";"0";"0";"06/04/2021"
"Hombres";"Atención al público";"0";"2";"0";"0";"0";"0";"06/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"22";"6";"1";"0";"15";"06/04/2021"
"Hombres";"Personal de ayuda a domicilio";"1";"4";"2";"1";"0";"1";"06/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"3";"1";"0";"0";"0";"06/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"31";"5";"0";"0";"13";"06/04/2021"
"Mujeres";"Sanitario en centro sanitario";"7";"43";"16";"6";"0";"23";"06/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"2";"18";"6";"2";"0";"5";"06/04/2021"
"Mujeres";"Sanitario en otro centro";"1";"7";"3";"1";"0";"4";"06/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"5";"0";"0";"0";"3";"06/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"15";"3";"0";"0";"4";"06/04/2021"
"Mujeres";"Atención al público";"1";"1";"1";"1";"0";"0";"06/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"3";"0";"0";"0";"3";"06/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"15";"7";"0";"0";"8";"06/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"3";"2";"0";"0";"1";"06/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"76";"13";"0";"0";"32";"06/04/2021"
"Hombres";"Sanitario en centro sanitario";"1";"18";"4";"1";"0";"8";"07/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"2";"07/04/2021"
"Hombres";"Sanitario en otro centro";"0";"5";"2";"0";"0";"2";"07/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"1";"07/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"1";"3";"1";"1";"0";"3";"07/04/2021"
"Hombres";"Atención al público";"0";"1";"0";"0";"0";"0";"07/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"21";"4";"1";"0";"13";"07/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"4";"1";"0";"0";"0";"07/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"2";"0";"0";"0";"0";"07/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"27";"3";"0";"0";"23";"07/04/2021"
"Mujeres";"Sanitario en centro sanitario";"3";"41";"16";"3";"0";"15";"07/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"-1";"16";"4";"-1";"0";"5";"07/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"5";"3";"0";"0";"4";"07/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"6";"1";"0";"0";"4";"07/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"13";"3";"1";"0";"9";"07/04/2021"
"Mujeres";"Atención al público";"0";"1";"1";"0";"0";"1";"07/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"3";"0";"0";"0";"2";"07/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"1";"12";"5";"1";"0";"10";"07/04/2021"
"Mujeres";"Personal de oficina de farmacia";"1";"4";"2";"1";"0";"2";"07/04/2021"
"Mujeres";"Otra profesión de riesgo";"1";"70";"4";"1";"0";"42";"07/04/2021"
"Hombres";"Sanitario en centro sanitario";"0";"15";"3";"0";"0";"13";"08/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"3";"1";"0";"3";"0";"5";"08/04/2021"
"Hombres";"Sanitario en otro centro";"0";"5";"1";"0";"0";"1";"08/04/2021"
"Hombres";"No sanitario en centro sanitario";"1";"1";"1";"1";"0";"2";"08/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"2";"0";"0";"0";"5";"08/04/2021"
"Hombres";"Atención al público";"2";"3";"2";"2";"0";"0";"08/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"18";"3";"0";"0";"10";"08/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"3";"0";"0";"0";"1";"08/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"2";"0";"0";"0";"0";"08/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"22";"2";"0";"0";"10";"08/04/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"37";"16";"4";"0";"22";"08/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"10";"17";"7";"10";"0";"8";"08/04/2021"
"Mujeres";"Sanitario en otro centro";"1";"6";"3";"1";"0";"5";"08/04/2021"
"Mujeres";"No sanitario en centro sanitario";"1";"5";"2";"1";"0";"4";"08/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"3";"12";"4";"3";"0";"10";"08/04/2021"
"Mujeres";"Atención al público";"1";"2";"2";"1";"0";"1";"08/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"-1";"2";"0";"-1";"0";"1";"08/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"8";"2";"0";"0";"9";"08/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"4";"1";"0";"0";"4";"08/04/2021"
"Mujeres";"Otra profesión de riesgo";"1";"61";"2";"1";"0";"27";"08/04/2021"
"Hombres";"Sanitario en centro sanitario";"2";"10";"3";"2";"0";"10";"09/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"0";"0";"0";"0";"1";"09/04/2021"
"Hombres";"Sanitario en otro centro";"0";"4";"1";"0";"0";"1";"09/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"1";"1";"0";"0";"0";"09/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"1";"09/04/2021"
"Hombres";"Atención al público";"1";"4";"3";"1";"0";"0";"09/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"16";"3";"1";"0";"10";"09/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"3";"0";"0";"0";"0";"09/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"09/04/2021"
"Hombres";"Otra profesión de riesgo";"3";"23";"3";"3";"0";"16";"09/04/2021"
"Mujeres";"Sanitario en centro sanitario";"6";"34";"15";"2";"0";"20";"09/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"13";"6";"1";"0";"7";"09/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"6";"2";"0";"0";"3";"09/04/2021"
"Mujeres";"No sanitario en centro sanitario";"1";"5";"3";"1";"0";"4";"09/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"2";"11";"4";"2";"0";"4";"09/04/2021"
"Mujeres";"Atención al público";"2";"4";"4";"2";"0";"0";"09/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"2";"0";"0";"0";"1";"09/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"8";"2";"0";"0";"6";"09/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"4";"0";"0";"0";"2";"09/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"43";"2";"0";"0";"31";"09/04/2021"
"Hombres";"Sanitario en centro sanitario";"10";"15";"8";"9";"0";"15";"12/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"0";"0";"0";"0";"4";"12/04/2021"
"Hombres";"Sanitario en otro centro";"4";"6";"2";"4";"0";"5";"12/04/2021"
"Hombres";"No sanitario en centro sanitario";"2";"3";"3";"2";"0";"7";"12/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"11";"12";"8";"11";"0";"9";"12/04/2021"
"Hombres";"Atención al público";"0";"3";"3";"0";"0";"0";"12/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"37";"46";"22";"37";"0";"26";"12/04/2021"
"Hombres";"Personal de ayuda a domicilio";"2";"4";"2";"2";"0";"4";"12/04/2021"
"Hombres";"Personal de oficina de farmacia";"1";"2";"1";"1";"0";"2";"12/04/2021"
"Hombres";"Otra profesión de riesgo";"41";"50";"23";"41";"0";"36";"12/04/2021"
"Mujeres";"Sanitario en centro sanitario";"36";"54";"23";"30";"0";"40";"12/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"12";"21";"12";"11";"0";"14";"12/04/2021"
"Mujeres";"Sanitario en otro centro";"7";"11";"6";"7";"0";"8";"12/04/2021"
"Mujeres";"No sanitario en centro sanitario";"2";"5";"5";"2";"0";"4";"12/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"10";"19";"11";"10";"0";"10";"12/04/2021"
"Mujeres";"Atención al público";"2";"6";"4";"2";"0";"6";"12/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"2";"2";"1";"1";"0";"6";"12/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"23";"30";"16";"23";"1";"26";"12/04/2021"
"Mujeres";"Personal de oficina de farmacia";"4";"7";"2";"4";"0";"1";"12/04/2021"
"Mujeres";"Otra profesión de riesgo";"77";"93";"43";"77";"0";"74";"12/04/2021"
"Hombres";"Sanitario en centro sanitario";"-1";"11";"3";"-1";"0";"8";"15/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"0";"0";"0";"0";"1";"15/04/2021"
"Hombres";"Sanitario en otro centro";"1";"6";"2";"1";"0";"2";"15/04/2021"
"Hombres";"No sanitario en centro sanitario";"1";"4";"3";"1";"0";"2";"15/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"-1";"11";"4";"-1";"0";"4";"15/04/2021"
"Hombres";"Atención al público";"0";"3";"0";"0";"0";"1";"15/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"-1";"40";"4";"-1";"0";"18";"15/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"3";"2";"0";"0";"0";"15/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"1";"0";"0";"0";"15/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"43";"12";"0";"0";"25";"15/04/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"55";"15";"4";"0";"35";"15/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"17";"5";"0";"0";"5";"15/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"10";"3";"0";"0";"7";"15/04/2021"
"Mujeres";"No sanitario en centro sanitario";"1";"6";"5";"1";"0";"6";"15/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"15";"1";"0";"0";"8";"15/04/2021"
"Mujeres";"Atención al público";"0";"6";"2";"0";"0";"1";"15/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"1";"0";"0";"0";"3";"15/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"27";"10";"0";"0";"16";"15/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"6";"0";"0";"0";"3";"15/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"76";"14";"0";"0";"45";"15/04/2021"
"Hombres";"Sanitario en centro sanitario";"2";"10";"1";"1";"1";"4";"16/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"0";"0";"0";"0";"4";"16/04/2021"
"Hombres";"Sanitario en otro centro";"0";"5";"1";"0";"0";"2";"16/04/2021"
"Hombres";"No sanitario en centro sanitario";"2";"6";"3";"2";"0";"3";"16/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"8";"0";"0";"0";"2";"16/04/2021"
"Hombres";"Atención al público";"1";"4";"1";"1";"0";"0";"16/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"34";"0";"0";"0";"12";"16/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"2";"0";"0";"0";"1";"16/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"16/04/2021"
"Hombres";"Otra profesión de riesgo";"1";"33";"0";"0";"0";"26";"16/04/2021"
"Mujeres";"Sanitario en centro sanitario";"5";"49";"13";"4";"0";"39";"16/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"4";"17";"3";"3";"0";"8";"16/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"7";"0";"0";"0";"10";"16/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"6";"2";"0";"0";"7";"16/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"-1";"12";"0";"-1";"0";"6";"16/04/2021"
"Mujeres";"Atención al público";"5";"11";"6";"5";"1";"0";"16/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"1";"0";"0";"0";"6";"16/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"2";"20";"1";"1";"0";"10";"16/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"3";"0";"0";"0";"3";"16/04/2021"
"Mujeres";"Otra profesión de riesgo";"5";"65";"4";"4";"0";"62";"16/04/2021"
"Hombres";"Sanitario en centro sanitario";"8";"15";"4";"8";"0";"12";"19/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"3";"2";"1";"3";"0";"2";"19/04/2021"
"Hombres";"Sanitario en otro centro";"4";"7";"3";"4";"0";"4";"19/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"6";"2";"0";"0";"4";"19/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"4";"11";"2";"4";"0";"5";"19/04/2021"
"Hombres";"Atención al público";"1";"5";"2";"1";"0";"0";"19/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"22";"44";"9";"22";"0";"28";"19/04/2021"
"Hombres";"Personal de ayuda a domicilio";"2";"4";"2";"2";"0";"1";"19/04/2021"
"Hombres";"Personal de oficina de farmacia";"3";"4";"1";"3";"0";"1";"19/04/2021"
"Hombres";"Otra profesión de riesgo";"55";"77";"23";"55";"0";"34";"19/04/2021"
"Mujeres";"Sanitario en centro sanitario";"33";"65";"23";"33";"0";"44";"19/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"10";"24";"8";"10";"0";"6";"19/04/2021"
"Mujeres";"Sanitario en otro centro";"9";"15";"5";"9";"0";"8";"19/04/2021"
"Mujeres";"No sanitario en centro sanitario";"3";"8";"1";"3";"0";"6";"19/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"12";"22";"4";"12";"0";"20";"19/04/2021"
"Mujeres";"Atención al público";"3";"12";"7";"3";"0";"0";"19/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"3";"4";"1";"3";"0";"5";"19/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"17";"33";"11";"17";"0";"23";"19/04/2021"
"Mujeres";"Personal de oficina de farmacia";"5";"7";"1";"5";"0";"4";"19/04/2021"
"Mujeres";"Otra profesión de riesgo";"105";"149";"45";"105";"0";"82";"19/04/2021"
"Hombres";"Sanitario en centro sanitario";"10";"15";"5";"10";"0";"12";"20/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"2";"1";"0";"0";"2";"20/04/2021"
"Hombres";"Sanitario en otro centro";"1";"7";"0";"1";"0";"1";"20/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"5";"1";"0";"0";"0";"20/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"10";"1";"0";"0";"0";"20/04/2021"
"Hombres";"Atención al público";"0";"4";"1";"0";"0";"0";"20/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"32";"7";"1";"0";"2";"20/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"4";"2";"0";"0";"0";"20/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"4";"0";"0";"0";"0";"20/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"75";"17";"0";"0";"3";"20/04/2021"
"Mujeres";"Sanitario en centro sanitario";"20";"62";"25";"21";"0";"29";"20/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"2";"22";"8";"2";"0";"6";"20/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"13";"3";"0";"0";"0";"20/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"8";"1";"0";"0";"2";"20/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"17";"2";"1";"0";"1";"20/04/2021"
"Mujeres";"Atención al público";"0";"12";"5";"0";"0";"0";"20/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"3";"1";"0";"0";"0";"20/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"3";"31";"10";"3";"0";"1";"20/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"6";"1";"0";"0";"0";"20/04/2021"
"Mujeres";"Otra profesión de riesgo";"1";"138";"32";"1";"0";"9";"20/04/2021"
"Hombres";"Sanitario en centro sanitario";"1";"14";"6";"1";"0";"0";"21/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"2";"1";"0";"0";"1";"21/04/2021"
"Hombres";"Sanitario en otro centro";"0";"6";"0";"0";"0";"2";"21/04/2021"
"Hombres";"No sanitario en centro sanitario";"1";"5";"1";"1";"0";"1";"21/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"8";"0";"0";"0";"2";"21/04/2021"
"Hombres";"Atención al público";"1";"3";"2";"1";"0";"1";"21/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"26";"5";"1";"0";"17";"21/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"4";"1";"0";"0";"0";"21/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"4";"0";"0";"0";"1";"21/04/2021"
"Hombres";"Otra profesión de riesgo";"1";"66";"12";"1";"0";"19";"21/04/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"58";"22";"3";"0";"18";"21/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"3";"22";"11";"3";"0";"2";"21/04/2021"
"Mujeres";"Sanitario en otro centro";"1";"13";"2";"1";"0";"7";"21/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"7";"0";"0";"0";"3";"21/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"2";"12";"1";"2";"0";"5";"21/04/2021"
"Mujeres";"Atención al público";"0";"10";"2";"0";"0";"0";"21/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"3";"1";"0";"0";"1";"21/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"30";"6";"0";"0";"12";"21/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"5";"0";"0";"0";"3";"21/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"118";"15";"0";"0";"24";"21/04/2021"
"Hombres";"Sanitario en centro sanitario";"1";"13";"5";"1";"0";"7";"22/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"3";"1";"1";"0";"0";"22/04/2021"
"Hombres";"Sanitario en otro centro";"1";"5";"0";"1";"0";"2";"22/04/2021"
"Hombres";"No sanitario en centro sanitario";"1";"5";"1";"1";"0";"1";"22/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"6";"0";"0";"0";"2";"22/04/2021"
"Hombres";"Atención al público";"0";"3";"2";"0";"0";"1";"22/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"21";"4";"1";"0";"16";"22/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"2";"0";"0";"0";"1";"22/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"3";"0";"0";"0";"0";"22/04/2021"
"Hombres";"Otra profesión de riesgo";"1";"53";"4";"1";"0";"18";"22/04/2021"
"Mujeres";"Sanitario en centro sanitario";"1";"54";"16";"1";"0";"10";"22/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"4";"21";"11";"4";"0";"8";"22/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"10";"1";"0";"0";"3";"22/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"5";"0";"0";"0";"2";"22/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"-1";"9";"2";"-1";"0";"4";"22/04/2021"
"Mujeres";"Atención al público";"0";"10";"2";"0";"0";"1";"22/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"1";"0";"0";"0";"0";"22/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"20";"3";"0";"0";"10";"22/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"5";"0";"0";"0";"1";"22/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"106";"4";"0";"0";"32";"22/04/2021"
"Hombres";"Sanitario en centro sanitario";"0";"10";"3";"0";"0";"8";"23/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"3";"1";"0";"0";"1";"23/04/2021"
"Hombres";"Sanitario en otro centro";"0";"3";"0";"0";"0";"1";"23/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"4";"1";"0";"0";"0";"23/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"1";"4";"0";"1";"0";"2";"23/04/2021"
"Hombres";"Atención al público";"0";"3";"2";"0";"0";"0";"23/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"18";"4";"1";"0";"10";"23/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"2";"0";"0";"0";"0";"23/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"3";"0";"0";"0";"0";"23/04/2021"
"Hombres";"Otra profesión de riesgo";"3";"42";"5";"3";"0";"12";"23/04/2021"
"Mujeres";"Sanitario en centro sanitario";"1";"51";"15";"1";"0";"13";"23/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"3";"19";"9";"3";"0";"8";"23/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"9";"1";"0";"0";"2";"23/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"3";"0";"0";"0";"7";"23/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"4";"8";"1";"4";"0";"14";"23/04/2021"
"Mujeres";"Atención al público";"1";"10";"2";"1";"0";"0";"23/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"1";"0";"0";"0";"1";"23/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"1";"20";"3";"1";"0";"13";"23/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"2";"0";"0";"0";"0";"23/04/2021"
"Mujeres";"Otra profesión de riesgo";"1";"83";"1";"1";"0";"28";"23/04/2021"
"Hombres";"Sanitario en centro sanitario";"6";"14";"4";"6";"0";"13";"26/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"2";"1";"0";"0";"1";"26/04/2021"
"Hombres";"Sanitario en otro centro";"2";"5";"0";"2";"0";"9";"26/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"3";"1";"0";"0";"5";"26/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"4";"6";"2";"4";"0";"6";"26/04/2021"
"Hombres";"Atención al público";"1";"4";"1";"1";"0";"3";"26/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"31";"43";"14";"31";"0";"39";"26/04/2021"
