"Vive en residencia";"Edad";"Confirmados PDIA";"Total Confirmados";"Curados";"Fallecidos";"Sexo";"Fecha"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"1";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"1";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"4";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"1";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"2";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"5";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"8";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"2";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"3";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"1";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"05/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"1";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 75 a 79 años";"-1";"-1";"-1";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"2";"Hombres";"06/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"2";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"-1";"1";"Hombres";"06/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"Menos de 65 años";"1";"1";"3";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"06/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"1";"1";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"10";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"5";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"4";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"2";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"1";"0";"Mujeres";"06/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"-1";"2";"Hombres";"07/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"1";"0";"Hombres";"07/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"1";"Hombres";"07/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"-1";"2";"Hombres";"07/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"1";"0";"Hombres";"07/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"1";"Hombres";"07/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"-1";"1";"Hombres";"07/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"1";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"07/04/2021"
"Residencias de mayores";"Menos de 65 años";"1";"1";"1";"0";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"2";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"-4";"3";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"-1";"3";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"1";"0";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"1";"Mujeres";"07/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"1";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"2";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"3";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"07/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"1";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"1";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"1";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"Menos de 65 años";"-1";"-1";"-1";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"08/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"2";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"1";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"08/04/2021"
"Residencias de mayores";"Menos de 65 años";"1";"1";"1";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 90 a 94 años";"1";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"Menos de 65 años";"2";"2";"1";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"09/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 70 a 74 años";"1";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 85 a 89 años";"1";"0";"1";"-1";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 95 a 99 años";"1";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"09/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 75 a 79 años";"1";"1";"1";"1";"Hombres";"12/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"Menos de 65 años";"3";"3";"6";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"1";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"1";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"12/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"1";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"2";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 90 a 94 años";"1";"0";"1";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"1";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"Menos de 65 años";"5";"5";"4";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"1";"1";"1";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"1";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"12/04/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"1";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"1";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"3";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"15/04/2021"
"Residencias de mayores";"Menos de 65 años";"1";"1";"1";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"1";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"1";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"-1";"1";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"3";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"2";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"6";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"1";"0";"Mujeres";"15/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"15/04/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"15/04/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"15/04/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"15/04/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"1";"0";"Mujeres";"15/04/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"15/04/2021"
